,subject_id,time_elapsed,gender,age,understood,comments
0,A13FUEPWBCLBUY,797301,male,38,yes,No additional comments.
1,A181HHZC94KPZR,2189082,male,41,yes,"Some results were spot on, but no bonus was assigned that I could see.  Maybe I didn't fully understand the instructions."
2,A1FVXS8IM5QYO8,1643961,female,56,yes,It was really interesting - thank you
3,A1I72NHC21347A,1102258,female,57,yes,
4,A1K8VUKRL53OX,3917047,male,30,yes,no
5,A1OZPLHNIU1519,1415011,male,58,yes,
6,A25ZZOSL7MVU22,1417073,male,30,yes,Make it possible to actually earn bonus on each one. the 2-8 combinations for single students can't be won with a 0.8 coin and 25 max examples.
7,A272X64FOZFYLB,2014816,male,28,yes,
8,A2I4PRZ9IZMKON,1792941,female,32,yes,None
9,A2IE6N4H90SM8,1547241,male,68,yes,One of the questions related to the instructions is misleading. It is this one: Is there a chance you will see the same student twice.
10,A2QX3YJXAAHHVV,1942154,male,32,yes,
11,A2R75YFKVALBXE,3420279,male,72,yes,"None, thanks!"
12,A2S64AUN7JI7ZS,1629507,male,44,yes,Thank youi
13,A2UR8ZKKO51K5N,2218333,female,29,yes,
14,A36470UBRH28GO,1715094,female,41,yes,
15,A3BU8UL4W258UU,1396346,male,37,yes,Understood the instructions but can not think of a strategy.
16,A3FKXJVH0K2E3E,1402031,male,58,yes,Very hard to determine
17,A3L0DCUXI7X3A9,1271266,male,45,yes,no problems
18,A3LFVI65XV1T46,1013402,female,43,yes,
19,A3M8O363B3IAKE,1293262,male,47,yes,
20,A3R5OJR60C6004,1305186,male,46,yes,
21,A48WNR6C4CI3J,1255655,male,38,yes,
22,A5P12YJP805RG,1126591,male,26,yes,
23,A6Y7SZU9L301W,1638341,male,42,yes,"Very interesting task. Only got the hang of it toward the end, so perhaps some practice rounds beforehand just to get a general idea of the task."
24,A8C3WNWRBWUXO,2675150,male,50,yes,The students did not seem very smart.
25,AN4P0SU1YSPF2,1656990,male,53,yes, I feel like I was not making a connection I needed to make with the other class samples.
26,ASVRLMDNQBUD9,1348737,male,42,yes,
27,AX27MR7AMU52H,2180081,male,60,yes,
