,subject_id,time_elapsed,gender,age,understood,total_bonus,comments,strategy,n_attention_passed
0,A110KENBXU7SUJ,952183,male,49,yes,1.1,,trying to steer the student based on ratios,3
1,A11BACV6DY5S8M,1263655,female,35,yes,5.24,No,Try to add enough of both colors to what the student has already seen in order to equal the actual proportion,3
2,A11BSFO4LMHPXQ,948342,female,44,yes,2.6,none,TRying to get them to the correct ratio of purple to orange,2
3,A12HLLXWOQJ14Q,2131991,male,69,yes,1.03,none,Tried not to send too many and tried to keep amount simple.,3
4,A12HZGOZQD5YK7,1586213,female,41,yes,3.82,This experiment felt rushed at first knowing I had to answer within a certain amount of time for the students and wished there was a timer available on each screen.,At first I tried to do it mathematically but I started to feel too rushed doing that so then I used higher numbers and multiples of the number of each color of turtle because more data with the same percentage should get the student closer to the correct ratio of turtles.,3
5,A173MXK429XAZQ,1170214,female,37,yes,1.52,,I tried to give the student an idea of the real proportion of purple to orange turtles.,3
6,A176PLYJ2VNRII,1403174,male,29,yes,4.1,Make the attention checks a bit more noticeable.,Trying to correct the proportion of turtles they would have seen.,3
7,A183WYXN12P2TJ,971695,male,41,yes,3.27,,I made guesses based on the existing information I knew.,3
8,A19CB2C4GY4C60,1161427,male,34,yes,3.6,No.,"I tred to show them the exact ratio of purple to orange turtles. If they guessed incorrectly, I then compensated by showing them an even greater amount in the direction that they need to guess.",3
9,A1A7HKFWGH77QH,1112867,male,25,yes,3.96,No comments,"If the students had seen either a choice of two sets of turtles, then I tried to show them a new sample to hopefully steer them in the right direction. But if they'd already seen only one group of turtles that I knew of, I was more likely to send an extra amount of one color of turtles. For example if they saw 9 orange turtles already, then maybe I'd send a small amount of orange turtles to them, but a high amount of purple turtles, so I could change their perception.",3
10,A1AMGHYG5PT0L2,1079647,female,44,yes,0.0,,I sent just the higher colored turtle,0
11,A1CC1ESUM2JWJ2,643466,female,36,yes,2.0,none,based it on the information given to me about the make up of purple and orange turtles,2
12,A1DC5O5XEIMM1M,4028369,female,42,yes,1.0,nice study ,nothing,3
13,A1DWSHGZGK8X0K,4158726,female,47,yes,2.9,Nill,Sending enough information so that the student could guess,3
14,A1FCD2XCRJ2UOY,1780436,male,33,yes,0.4,,I tried to show the student numbers of turtles that represent the entire population on the island,1
15,A1FKRZKU1H9YFC,983408,female,40,yes,1.5,none,sending the amount per 10,0
16,A1FYWSPNO7KN1O,1357268,male,42,yes,2.28,"I would have liked more feedback, but I'm sure thats part of the experiment. ",I mostly went by intuition using multiples of the ratio of turtles.,3
17,A1G452MFAS690B,903367,female,34,yes,0.92,,It was very difficult to figure out a strategy. I tried a few different things but couldn't get a good grip on how to be better,1
18,A1GRPIBHW72HDU,924505,male,33,yes,2.66,,I always tried to imitate the actual proportion in what I sent since I didn't know which island they saw.,3
19,A1J9VZ372FV2QZ,1739159,male,41,yes,2.17,,I showed them the rounded amount ,2
20,A1JI19KPIVNL3Y,1512226,male,45,yes,2.9,,"I tried to either show the percentages of turtles, or to correct the percentages.",2
21,A1K8QNLYYYX21W,1097754,male,2,yes,0.87,,tried to think of numbers that would convey the percentage ,0
22,A1KWC8TW8ANBQ8,1066897,female,57,yes,0.54,none,I tried to give roughly the same percentage that was stated.  It always seemed to be 70/30 one way or another so I tried to stay within that.,0
23,A1LE6AUI3CJNIT,1379560,male,35,yes,2.05,,Sending average sample. ,2
24,A1M7S6HGYT07FJ,2214342,female,53,yes,1.8,no,sending more turtles,0
25,A1N8BW04V76ZSY,2253067,male,58,yes,0.18,,approximate the ratio repeatedly,1
26,A1NWYNEBQYP836,1327668,male,29,yes,2.0,,Matched turtles sent to islands distribution. Adjusted for student assumption.,2
27,A1OW27AZS122X2,1587221,male,27,yes,0.68,None,I gave the students the additional number of turtles closed to 30/70 percentages based on the actual number of turtles on the island. ,3
28,A1PBWSMSRU9YAO,1880591,female,34,yes,4.5,no idea,mind,0
29,A1PHDT66U6IK4Q,3014482,male,69,yes,0.6,"All clear, no problems.",Probabilistic calculation and intuition.,0
30,A1S5SPI4NQPGSI,1644981,female,43,yes,1.0,none,to send the greatest amount of turtles that had the greatest amount of color,3
31,A1SLJKNSNHOJRN,1190291,male,39,yes,2.25,,I hoped they would understand the proportion I was trying to alert them by the number of turtles I sent. I kept the number low so that it was easier for them to figure it out. ,2
32,A1T6QVMIXF74FF,1159660,female,25,yes,0.94,I don't know if I got all the attention checks I didn't know they would be snuck in there after a comprehension section. I paid attention and did my best.,I tried to give information based on 10 turtles rather than 100,2
33,A1T8EFHGSEE3RD,1742317,female,40,yes,1.57,thanks!,"To keep the turtles sent down, I would share with them the correct percentage",1
34,A1TGZ063G5UKEC,1038947,female,27,yes,2.0,none,"I always chose the option that was higher, since it be better to get closer to the 7 then try and hit the 3",0
35,A1TMZLYXQAK8Q0,2238398,male,46,yes,5.88,thank you.,"when the student either say 1 orange or 9 orange I decided to send them 5 of each color because I thought that gave me a 50% chance to get them to the right number, maybe I'm mistaken. When I had two rounds and know what they guessed on the first round I t how many out of 20 I needed to get them to the number",3
36,A1TW2BZRRS874Z,1242336,male,38,yes,0.27,,I tried dividing and multiplying the 7 and 3. Then I just went random on and off,1
37,A1V1JNPU0KOA3X,1660954,male,56,yes,3.2,Liked it!,"I tried to give student the correct proportion when I did not know how many turtles they had seen. But when I knew the proportion of turtles they had seen, I tried to correct their misperception by letting them see more of the dominant color of turtles.",0
38,A1WJIRT360P5VB,2197623,male,43,yes,5.83,"I assumed that the second lesson added to the number of turtles the student had seen in the second lesson, but I did not specifically see it mentioned.","Mainly I just tried to balance out what the student had seen before to match the correct ratio, if I wasn't sure what they had seen I put 5 and 5 so I would have a 50% chance of being right.",3
