,subject_id,time_elapsed,gender,age,understood,total_bonus,comments,strategy,n_attention_passed
0,A107RJSS561Y7R,530999,male,36,yes,3.5,,i tried to make my decisions by taking into account all the information i had,2
1,A12HZGOZQD5YK7,1086695,female,41,yes,5.8,No.,"If I wasn't sure if they knew the turtles I already saw, then I would count orange and purples they told me about and tried to get a good guess of the percentage they were trying to indicate to me or if they chose not to show me orange or purple at all, I would choose the other color.",2
2,A195MOXRMNHRVT,747622,female,38,yes,5.3,:),"If the ratio the teacher showed me was heavily  one color, I didn't ask. If it seemed to contradict what I initially saw in a slight way, I wanted more information.",2
3,A1BIJGB7XA0GME,850313,female,55,yes,3.6,none,I went with the most colors that the teacher showed me most of the time,2
4,A1DUPOUC9RNU4L,796146,female,61,yes,3.9,,none,2
5,A1DZMZTXWOM9MR,1172582,male,40,yes,6.0,none,I looked for the number of turtles that were shown by my guide to corroborate the amount that I had seen beforehand.,2
6,A1FHC4Z6QXDQSS,1306561,male,39,yes,2.2,I entered the wrong info on the first attention check realized it after did read it but was so into the game wasn't think and the was like oh no ,I would add what the teacher saw and I saw together and then try to decide whats more likely,0
7,A1FMVUYV72MUO3,1385671,male,40,yes,5.5,,calculated probabilities based on turtle color composition,2
8,A1FNNL4YJGBU8U,894603,male,26,yes,3.0,Thank,I tried to base me guess off all the different amounts of turtles shown each round. ,2
9,A1G187YBG0DVMQ,370884,male,30,yes,6.0,,focusing on what the teacher showed me,2
10,A1HKYY6XI2OHO1,804981,male,44,yes,3.9,This stopped working in my normal AMT browser. I had to manually copy the link to another browser to be able to complete this. ,"Eventually, I just went with what the teacher said.",2
11,A1M3KGD9H8RTBH,1068817,abstain,52,yes,5.4,,I followed the guidance of the teacher rather than the first turtles I saw myself,2
12,A1M64R8HPYNNZA,1115286,male,45,yes,4.3,"Cute game, it was a lot of fun.","I tried to base it of of general averages, but also guessing on a few of them.",1
13,A1OZPLHNIU1519,784013,male,59,yes,5.4,,"If the teacher showed me more of one turtle than the other, I assumed that the teacher was telling me that the higher number of turtles on the island corresponded with the ratio that the teacher had shown me.",2
14,A1P6OXEJ86HQRM,791757,male,40,yes,4.7,,I didn't have any particular strategy. I just went with my gut.,2
15,A1SK77UV16VAHF,546822,female,27,yes,3.0,Thanks for the opportunity to take part!,I mostly went off if the additional turtles matched what information I had been given.,2
16,A1VFOKKVJ7B9D6,800337,female,47,yes,4.2,No.,I tried to look at which one appeared more often.,2
17,A25PFSORDO3SWQ,1308879,male,35,yes,5.5,,"I tried not to use the guess so I could maximize my winnings. I then thought about the numbers the teacher sent and trying to decide if I thought they knew I saw turtles before they taught me or not. Then depending on what the teacher showed me for round 2, I would try to think if I should go with the yellow or purple as the majority. If they sent low amounts for the one color and a high amount for the other color, that made me think I was supposed to believe that the higher amounts were the majority color. When the numbers were closer together it was harder to decide.",2
18,A27O7H19C0WQ7T,478803,female,40,yes,2.2,,which color had the most turtles,2
19,A27W025UEXS1G0,686363,male,35,yes,4.9,No,"If the teacher showed a majority in the same color I saw, then I assumed they knew what I saw. If they showed a majority of the opposite color, then I guessed to see if the teacher would change the majority color",2
20,A2BK45LZGGWPLX,695273,female,66,yes,5.7,,I guessed,2
21,A2EL6OLA6FZ44H,1564025,female,37,yes,3.7,"please, the first ATTENTION CHECK, i want to let you know that i may have made a mistake of hitting NO instead of YES as instructed because i intentionally wanted to do so too and mistakenly hit NO; i really cannot explain the reason. please, don't reject my work because i actually paid attention to everything as you can see that i passed the comprehension test the very first attempt.",i evaluated both the numbers i saw and that of the teachers,2
22,A2I37S7GQR6X1H,1230123,male,61,yes,4.5,No comments.,"Read the information, but relied on my hunches (building on each round).",2
23,A2JP9IKRHNLRPI,392425,male,27,yes,6.0,,I listened to the guides when they provided data contrary to what I was told prior.,2
24,A2O2Q0LVWOWJ1G,729464,female,48,yes,3.4,I enjoyed taking part. ,I just went with the number of turtles I saw and was shown and made an assumption based on those numbers. ,2
25,A2PQDK3MLDFXYM,943481,female,30,yes,4.9,,I looked at what I saw and if the teacher showed more of one color than what I saw then I said they didn't know.,2
26,A2T675UCHNTSSW,826637,female,52,yes,4.0,The hit was broken at several points and I had to start over 2 times.,"If  the teacher showed me enough turtles to what I already had seen, I fiquered they represented the majority color.",2
27,A2WNTI69VVVWMZ,542637,male,26,yes,5.8,,I relied on whichever turtles my teacher would show me more often.,2
28,A2ZNOMZ35LKY8Q,1068411,male,27,yes,3.0,,I based my decisions around how many turtles I initially saw and the examples shown to me by teachers.,2
29,A2ZSL0EDN3H4AT,1067599,female,39,yes,1.8,No,I used my instincts.,0
30,A341XKSRZ58FJK,651005,male,48,yes,3.0,,"I decided based on the initial info, and what the teacher showed me. Sometimes it seemed clear what the ratio was, other times not so much.",2
31,A394S7JSNUA3TS,695957,male,32,yes,2.1,None,I tried to base my strategy off which turtles the teacher showed me compared to the 10 I originally saw,2
32,A3CGQOJC28OVGN,795094,female,31,yes,4.9,,"Ip the teachers first look was extreme, it reinforced or caused me to change , then they knew what I was shown",2
33,A3G5OWGKHW6OL5,997287,male,35,yes,3.9,,If both the turtles that I saw and the ones I was shown favored one particular side I went with that choice. When it was ambiguous I sent feedback.,2
34,A3I40B0FATY8VH,695738,male,29,yes,3.5,No,I tended to side with the color that had the highest count when the teacher showed me what she had and what I already saw.,2
35,A3KACB3ERCT0DG,1019918,female,48,yes,2.6,,I tried to do some quick probability math but realize that there was a major error of thinking when I hit island 8,2
36,A3NMQ3019X6YE0,742002,female,44,yes,2.6,,I based the guess on the most dominant color and amount that I was shown.,2
37,A3V57BKH58EUIY,942998,female,38,yes,2.9,,I went with whichever colored turtle I saw the majority of throughout each exercise,1
38,A48WNR6C4CI3J,577183,male,38,yes,4.5,Thanks!,"No particular strategy, I just went with my gut.",2
39,A4J4GGMKJ68L0,982757,male,24,yes,1.8,,I was trying to see if the turtles the teacher sent match up with the ratio of turtles from the start.,2
40,A6Y7SZU9L301W,2177071,male,42,yes,3.1,,Making the best guess without needing to spend the 10 cents.,2
41,A748N8WFG2HR4,1001522,female,45,yes,3.0,,I went with my gut feeling and how many turtles I saw,2
42,ABX5OQLR6UNBC,894160,female,49,yes,5.5,,"Factored the teachers' data into my estimations as best I could, and attempted to gauge whether or not they knew what I'd already seen by the ratios they showed me.",2
